label,value_1,value_2
trip_id,167813105,167813109
person_id,511624,511624
household_id,203307,203307
tour_id,20976638,20976638
primary_purpose,eatout,eatout
trip_num,1,1
outbound,True,False
trip_count,1,1
purpose,eatout,Home
destination,1005,961
origin,961,1005
destination_logsum,,
depart,14.0,18.0
hhsize,6,6
age,9,9
auto_ownership,3,3
number_of_participants,2,2
tour_category,joint,joint
parent_tour_id,,
tour_mode,SHARED2FREE,SHARED2FREE
duration,4.0,4.0
value_of_time,4.8480640169119384,4.8480640169119384
tour_type,eatout,eatout
free_parking_at_work,False,False
trip_period,MD,PM
is_joint,True,True
is_indiv,False,False
is_atwork_subtour,False,False
c_cost,-0.0034529247018200153,-0.0034529247018200153
parent_tour_mode,,
work_tour_is_SOV,False,False
work_tour_is_bike,False,False
i_tour_mode,3,3
tour_mode_is_SOV,False,False
tour_mode_is_auto,True,True
tour_mode_is_walk,False,False
tour_mode_is_bike,False,False
tour_mode_is_walk_transit,False,False
tour_mode_is_drive_transit,False,False
tour_mode_is_ride_hail,False,False
inbound,False,True
first_trip,True,True
last_trip,True,True
total_terminal_time,0,0
free_parking_available,False,False
dest_hourly_peak_parking_cost,4.29985756143748,5.149440606497332
origin_hourly_peak_parking_cost,5.149440606497332,4.29985756143748
origin_duration,0.0,4.0
dest_duration,0.0,4.0
origin_parking_cost,0.0,17.19943024574992
dest_parking_cost,0.0,20.597762425989327
total_parking_cost,0.0,18.898596335869623
trip_topology,1,1
density_index,0.6765807627481646,0.6765807627481646
origin_density_index,1.5849827236327831,1.5849827236327831
walk_transit_available,True,True
drive_transit_available,True,True
origin_walk_time,6.66,6.66
destination_walk_time,6.66,6.66
origin_density_measure,7763.304057567985,4223.82183880106
origin_density,2,3
origin_zone_taxi_wait_time_mean,9.5,13.3
origin_zone_taxi_wait_time_sd,0,0
origTaxiWaitTime,9.500000000000002,13.300000000000002
origin_zone_singleTNC_wait_time_mean,6.3,8.4
origin_zone_singleTNC_wait_time_sd,0,0
origSingleTNCWaitTime,6.299999999999999,8.4
origin_zone_sharedTNC_wait_time_mean,8.0,11.0
origin_zone_sharedTNC_wait_time_sd,0,0
origSharedTNCWaitTime,7.999999999999998,11.000000000000002
congestion_destination,False,False
sov_available,True,True
hov2_available,True,True
hov3_available,True,True
sovtoll_available,False,False
hov2toll_available,False,False
hov3toll_available,False,False
walk_local_available,False,False
walk_lrf_available,False,False
walk_express_available,False,False
walk_heavyrail_available,False,False
walk_commuter_available,False,False
drive_local_available_outbound,False,False
drive_local_available_inbound,False,False
drive_lrf_available_outbound,False,False
drive_lrf_available_inbound,False,False
drive_express_available_outbound,False,False
drive_express_available_inbound,False,False
drive_heavyrail_available_outbound,False,False
drive_heavyrail_available_inbound,False,False
drive_commuter_available_outbound,False,False
drive_commuter_available_inbound,False,False
walk_ferry_available,False,False
drive_ferry_available,False,False
trip_id,167813073,167813077
person_id,511625,511625
household_id,203307,203307
tour_id,20976634,20976634
primary_purpose,escort,escort
trip_num,1,1
outbound,True,False
trip_count,1,1
purpose,escort,Home
destination,959,961
origin,961,959
destination_logsum,,
depart,15.0,16.0
hhsize,6,6
age,34,34
auto_ownership,3,3
number_of_participants,1,1
tour_category,non_mandatory,non_mandatory
parent_tour_id,,
tour_mode,SHARED3FREE,SHARED3FREE
duration,1.0,1.0
value_of_time,7.268461794470672,7.268461794470672
tour_type,escort,escort
free_parking_at_work,False,False
trip_period,MD,MD
is_joint,False,False
is_indiv,True,True
is_atwork_subtour,False,False
c_cost,-0.0023031007761139506,-0.0023031007761139506
parent_tour_mode,,
work_tour_is_SOV,False,False
work_tour_is_bike,False,False
i_tour_mode,5,5
tour_mode_is_SOV,False,False
tour_mode_is_auto,True,True
tour_mode_is_walk,False,False
tour_mode_is_bike,False,False
tour_mode_is_walk_transit,False,False
tour_mode_is_drive_transit,False,False
tour_mode_is_ride_hail,False,False
inbound,False,True
first_trip,True,True
last_trip,True,True
total_terminal_time,0,0
free_parking_available,False,False
dest_hourly_peak_parking_cost,13.40844786336284,5.149440606497332
origin_hourly_peak_parking_cost,5.149440606497332,13.40844786336284
origin_duration,0.0,1.0
dest_duration,0.0,1.0
origin_parking_cost,0.0,13.40844786336284
dest_parking_cost,0.0,5.149440606497332
total_parking_cost,0.0,9.278944234930085
trip_topology,1,1
density_index,2.0326380958232213,2.0326380958232213
origin_density_index,1.5849827236327831,1.5849827236327831
walk_transit_available,True,True
drive_transit_available,True,True
origin_walk_time,6.66,6.66
destination_walk_time,6.66,6.66
origin_density_measure,7763.304057567985,17499.955981916843
origin_density,2,1
